"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 14 04:26:52 GMT 2023","Sun May 14 04:26:52 GMT 2023","2","Journeys","Validate Journey for partner","","","","2120022 test",""
"failed","Sun May 14 04:26:52 GMT 2023","Sun May 14 04:26:52 GMT 2023","3","Journeys","Validate Journey for partner","","","","2120023: test",""
