"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 14 04:30:25 GMT 2023","Sun May 14 04:30:25 GMT 2023","1","Journeys","Validate Journey for partner","","","","2120023: test",""
"passed","Sun May 14 04:30:25 GMT 2023","Sun May 14 04:30:25 GMT 2023","3","Journeys","Validate Journey for partner","","","","2120022 test",""
